nqubits,depth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars
49,577,384,210,0.038872691933916424,74.06733536720276,1393.0310153961182,7450,True,102900,21000
75,889,592,327,0.0163098878695209,296.6877021789551,3833.706761598587,19827,True,245250,32700
99,1177,784,435,0.004644142575177058,746.7283978462219,7283.315335988998,45275,True,430650,43500
