nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
89,89,3916,89,0.0631233430122459,112.1569046974182,1498.4298040866852,6507.0,True,79210,8900,26.84,11748,623
90,90,4050,90,0.0617283950617283,120.2125120162964,1524.065011024475,6713.0,True,81000,9000,27.4,12150,630
91,91,4095,91,0.0603791812583021,119.73956227302553,1658.2065620422363,6832.0,False,82810,9100,29.63,12285,637
92,92,4232,92,0.0590737240075614,123.11972975730896,1675.9669728279114,7084.0,True,84640,9200,29.98,12696,644
93,93,4278,93,0.0578101514625968,129.76324796676636,1722.1286962032318,7250.0,True,86490,9300,30.86,12834,651
94,94,4418,94,0.0565866908103214,138.97498512268066,1793.4210467338562,7381.0,True,88360,9400,32.21,13254,658
95,95,4465,95,0.0332409972299169,158.6801335811615,1862.2789857387545,7583.0,False,90250,9500,33.68,13395,665
96,96,4608,96,0.0325520833333333,152.41016626358032,1954.6532599925995,7635.0,True,92160,9600,35.12,13824,672
97,97,4656,97,0.031884366032522,167.6361882686615,1895.426889419556,7812.0,True,94090,9700,34.38,13968,679
98,98,4802,98,0.0104123281965847,168.1165018081665,1817.2394099235532,8392.0,True,96040,9800,33.09,14406,686
99,99,4851,99,0.0102030405060708,184.6773121356964,1808.087462902069,8567.0,True,98010,9900,33.21,14553,693
100,100,5000,100,0.01,179.93740272521973,1882.672746896744,8739.0,True,100000,10000,34.38,15000,700
