nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
88,175,3828,173,0.0459800315291644,233.19114017486567,3089.948068380356,10629.0,True,152240,17300,55.39,7788,698
89,177,3916,175,0.0449438202247191,225.92190599441528,3185.3450396060944,10789.0,True,155750,17500,56.85,7964,706
90,179,4005,177,0.0439422473320778,233.09013175964355,3294.7914423942566,11356.0,False,159300,17700,58.8,8145,714
91,181,4095,179,0.0429737859905457,255.8502230644226,3518.5444469451904,11536.0,True,162890,17900,62.91,8325,722
92,183,4186,181,0.042036992553447,254.599347114563,3657.9585435390472,11799.0,False,166520,18100,65.21,8510,730
93,185,4278,183,0.0411305012045361,283.2568528652191,3613.826716423034,12131.0,False,170190,18300,64.95,8694,738
94,187,4371,185,0.0402530189764232,285.39816308021545,3670.331078767777,12508.0,True,173900,18500,65.93,8883,746
95,189,4465,187,0.0394033211370672,275.4994430541992,4009.641653776169,12710.0,True,177650,18700,71.42,9071,754
96,191,4560,189,0.0385802469135802,306.87695264816284,4030.424331426621,11890.0,False,181440,18900,72.29,9264,762
97,194,4704,192,0.0053694158075601,324.062970161438,3522.8865942955017,16005.0,True,186240,19200,64.12,9456,770
98,195,4753,193,0.0370096225018504,313.55850410461426,3980.485213518143,9008.0,False,189140,19300,71.57,9653,778
99,198,4900,196,0.010307153164296,349.9913024902344,3925.7453289031982,15741.0,True,194040,19600,71.26,9849,786
100,199,4950,197,0.0355329949238578,341.0363600254059,4419.585155725479,9423.0,False,197000,19700,79.34,10050,794
