nqubits,depth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars
50,49,49,49,0.20408163265306123,16.84956645965576,411.8522684574127,1261,True,24500,4900
75,74,74,74,0.05405405405405406,67.0726089477539,1034.8193454742432,5097,True,55500,7400
100,99,99,99,0.010101010101010102,176.7096712589264,8215.815774679184,13218,True,99000,9900
