nqubits,cxdepth,cxcount,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time
50,13,79,3,0.6666666666666666,0.9767796993255616,11.755708456039429,26.0,True,1500,300,0.21
51,13,81,3,0.6535947712418301,0.9898405075073242,11.794861316680908,19.0,True,1530,300,0.21
52,13,83,3,0.6410256410256411,0.9758257865905762,11.598814249038696,21.0,True,1560,300,0.21
53,13,85,3,0.6289308176100629,0.9942793846130372,11.790919065475464,26.0,False,1590,300,0.21
54,14,87,3,0.6172839506172839,1.0442466735839844,12.138386487960815,26.0,True,1620,300,0.22
55,17,92,3,0.6060606060606061,1.0780560970306396,12.418994903564451,24.0,True,1650,300,0.22
56,13,85,3,0.5952380952380952,1.142782211303711,12.814225912094116,23.0,True,1680,300,0.23
57,14,99,3,0.5847953216374269,1.1892409324645996,13.300861835479736,32.0,True,1710,300,0.24
58,17,100,3,0.5747126436781609,1.2490313053131104,13.657578706741331,36.0,False,1740,300,0.25
59,15,105,3,0.5649717514124294,1.3191514015197754,13.957729816436768,25.0,True,1770,300,0.25
60,16,105,3,0.5555555555555556,1.373061180114746,14.137369394302368,35.0,False,1800,300,0.26
61,15,101,3,0.546448087431694,1.4238660335540771,14.53838348388672,33.0,False,1830,300,0.27
62,15,107,3,0.5376344086021505,1.71307635307312,14.831135749816896,37.0,True,1860,300,0.28
63,13,103,3,0.5291005291005291,1.5419180393218994,15.228918552398682,36.0,True,1890,300,0.28
64,15,105,3,0.5208333333333334,1.6014626026153564,15.579729080200195,37.0,True,1920,300,0.29
65,13,113,3,0.5128205128205128,1.6995608806610107,16.067824125289917,51.0,True,1950,300,0.3
66,15,114,3,0.5050505050505051,1.7199971675872805,15.993284225463867,46.0,True,1980,300,0.3
67,14,117,3,0.4975124378109453,1.7856919765472412,16.399510860443115,51.0,True,2010,300,0.3
68,14,123,3,0.4901960784313725,1.8361694812774656,16.700220823287964,43.0,True,2040,300,0.31
69,14,129,3,0.4830917874396135,1.8764636516571045,17.19762349128723,44.0,True,2070,300,0.32
70,14,131,3,0.4761904761904761,1.9294536113739011,17.623241186141968,47.0,True,2100,300,0.33
71,15,130,3,0.4694835680751174,2.00681209564209,17.960569858551025,56.0,True,2130,300,0.33
72,14,131,3,0.4629629629629629,2.048245668411255,18.146342992782596,56.0,True,2160,300,0.34
73,14,126,3,0.45662100456621,2.094871997833252,18.49084711074829,49.0,True,2190,300,0.34
74,17,127,3,0.4504504504504504,2.159142255783081,19.021960258483887,54.0,True,2220,300,0.35
75,15,130,3,0.4444444444444444,2.2248470783233643,19.172734022140503,56.0,True,2250,300,0.36
76,14,129,3,0.4385964912280701,2.306215763092041,20.07408094406128,62.0,True,2280,300,0.37
77,16,133,3,0.4329004329004329,2.3843276500701904,19.991394996643063,65.0,True,2310,300,0.37
78,19,133,3,0.4273504273504273,2.4347987174987797,20.309540271759037,66.0,True,2340,300,0.38
79,13,134,3,0.4219409282700422,2.4949774742126465,21.029847383499146,66.0,True,2370,300,0.39
80,14,135,3,0.4166666666666667,2.617104768753052,22.007689714431763,69.0,False,2400,300,0.41
81,15,139,3,0.411522633744856,2.693137884140014,21.649133682250977,68.0,True,2430,300,0.41
82,14,135,3,0.4065040650406504,2.759446620941162,21.997690677642822,65.0,True,2460,300,0.41
83,15,135,3,0.4016064257028112,2.863992929458618,22.452086687088013,75.0,True,2490,300,0.42
84,14,138,3,0.3968253968253968,2.9404585361480717,22.52834987640381,67.0,True,2520,300,0.42
85,14,136,3,0.392156862745098,3.0068929195404053,22.84503126144409,65.0,True,2550,300,0.43
86,17,147,3,0.3875968992248062,3.060177087783813,22.913406372070312,75.0,True,2580,300,0.43
87,14,146,3,0.3831417624521073,3.170044183731079,23.8419291973114,85.0,True,2610,300,0.45
88,14,144,3,0.3787878787878788,3.294888496398926,24.03086566925049,75.0,False,2640,300,0.46
89,14,144,3,0.3745318352059925,3.34502387046814,24.398390769958496,73.0,True,2670,300,0.46
90,14,144,3,0.3703703703703703,3.490852832794189,25.71331024169922,66.0,True,2700,300,0.49
91,15,142,3,0.3663003663003663,3.630470752716065,26.67656111717224,79.0,True,2730,300,0.51
92,14,145,3,0.3623188405797101,3.844185113906861,28.08211898803711,79.0,True,2760,300,0.53
93,15,150,3,0.3584229390681003,3.95835280418396,28.58018946647644,92.0,False,2790,300,0.54
94,15,162,3,0.3546099290780142,4.077417612075806,28.927823305130005,84.0,True,2820,300,0.55
95,18,155,3,0.3508771929824561,4.1398680210113525,28.37292504310608,86.0,True,2850,300,0.54
96,14,155,3,0.3472222222222222,4.271050214767456,29.3401882648468,76.0,False,2880,300,0.56
97,16,162,3,0.3436426116838488,4.3344457149505615,30.08593797683716,74.0,False,2910,300,0.57
98,15,165,3,0.3401360544217687,4.46546483039856,30.97767782211304,92.0,True,2940,300,0.59
99,16,165,3,0.2693602693602693,4.617539644241333,29.417336463928223,97.0,True,2970,300,0.57
100,15,166,3,0.2666666666666666,4.686939477920532,30.137370347976685,110.0,True,3000,300,0.58
