nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
50,15,244,15,0.5333333333333333,5.2062623500823975,80.38327860832214,263.0,True,7500,1500,1.43,507,108
51,15,248,15,0.5228758169934641,5.355098009109497,87.9549024105072,246.0,True,7650,1500,1.56,485,100
52,15,255,15,0.5128205128205128,5.612800598144531,88.1205792427063,266.0,False,7800,1500,1.56,521,101
53,15,259,15,0.5031446540880503,5.775805234909058,92.29829049110413,277.0,True,7950,1500,1.63,531,88
54,15,264,15,0.4938271604938271,6.201640129089356,94.76607084274292,290.0,False,8100,1500,1.68,535,96
55,15,266,15,0.4848484848484848,6.362032651901245,99.5148696899414,302.0,True,8250,1500,1.76,553,120
56,15,271,15,0.4761904761904761,6.618538856506348,105.83739137649536,293.0,True,8400,1500,1.87,578,103
57,15,281,15,0.4678362573099415,7.019697666168213,112.99005675315856,351.0,False,8550,1500,2.0,553,93
58,15,278,15,0.4597701149425287,7.1996400356292725,114.13592004776,336.0,True,8700,1500,2.02,593,102
59,15,288,15,0.4519774011299435,7.499565124511719,117.91939234733582,364.0,True,8850,1500,2.09,626,97
60,15,292,15,0.4444444444444444,7.822259426116943,121.57144618034364,352.0,True,9000,1500,2.16,624,99
61,15,295,15,0.4371584699453552,8.132256031036377,127.62031078338624,377.0,True,9150,1500,2.26,631,104
62,15,299,15,0.4301075268817204,8.308525800704956,126.54362654685974,392.0,True,9300,1500,2.25,607,100
63,15,304,15,0.4232804232804232,8.63512134552002,132.68209528923035,397.0,True,9450,1500,2.36,629,102
64,15,309,15,0.4166666666666667,8.922979831695557,136.249516248703,403.0,True,9600,1500,2.42,659,100
65,15,320,15,0.4102564102564102,9.27072262763977,137.01360154151917,405.0,True,9750,1500,2.44,645,99
66,15,315,15,0.404040404040404,9.496233701705933,153.9594485759735,435.0,True,9900,1500,2.72,663,93
67,15,331,15,0.3980099502487562,10.07987117767334,148.68428444862366,450.0,True,10050,1500,2.65,687,105
68,15,328,15,0.392156862745098,10.504274606704712,149.7891640663147,454.0,False,10200,1500,2.67,696,97
69,15,338,15,0.3864734299516908,10.393182754516602,151.63144946098328,486.0,True,10350,1500,2.7,702,103
70,15,345,15,0.3809523809523809,10.610459804534912,146.45708847045898,491.0,True,10500,1500,2.62,718,106
71,15,350,15,0.3755868544600939,10.927532196044922,151.9343512058258,491.0,True,10650,1500,2.71,742,104
72,15,355,15,0.3703703703703703,11.367860317230225,150.04408502578735,507.0,True,10800,1500,2.69,733,93
73,15,367,15,0.365296803652968,11.534396409988403,155.35119724273682,512.0,True,10950,1500,2.78,751,97
74,15,357,15,0.3603603603603603,11.907937288284302,156.65192794799805,525.0,False,11100,1500,2.81,729,105
75,15,373,15,0.3555555555555555,12.305888414382936,165.26841950416565,528.0,False,11250,1500,2.96,751,109
76,15,384,15,0.3508771929824561,12.516982316970823,167.63919281959534,550.0,True,11400,1500,3.0,775,114
77,15,386,15,0.3463203463203463,13.409544706344604,174.53140354156494,565.0,True,11550,1500,3.13,780,103
78,15,380,15,0.3418803418803419,13.325134754180908,174.40185379981995,541.0,True,11700,1500,3.13,785,107
79,15,385,15,0.3375527426160337,14.456743717193604,204.99159264564517,560.0,True,11850,1500,3.66,794,98
80,15,395,15,0.3333333333333333,13.991101741790771,185.45266699790955,584.0,True,12000,1500,3.32,852,101
81,15,395,15,0.3292181069958848,15.14602017402649,193.65419268608093,590.0,True,12150,1500,3.48,853,104
82,15,421,15,0.3252032520325203,15.085100889205933,197.89257717132568,627.0,True,12300,1500,3.55,838,99
83,15,406,15,0.321285140562249,15.533055782318115,200.18997240066528,643.0,True,12450,1500,3.6,859,106
84,15,419,15,0.3174603174603174,16.46580743789673,205.59015011787412,635.0,True,12600,1500,3.7,864,112
85,15,409,15,0.3137254901960784,16.801228761672974,216.691034078598,627.0,False,12750,1500,3.89,866,95
86,15,423,15,0.3100775193798449,18.587566614151,227.8915431499481,653.0,True,12900,1500,4.11,876,106
87,15,424,15,0.3065134099616858,18.326326847076416,220.6327450275421,657.0,True,13050,1500,3.98,885,103
88,15,423,15,0.303030303030303,18.175414562225345,216.95040488243103,692.0,True,13200,1500,3.92,897,96
89,15,431,15,0.299625468164794,18.58418846130371,213.80744886398315,686.0,True,13350,1500,3.87,908,97
90,15,440,15,0.2962962962962963,19.20165014266968,210.47777485847476,697.0,False,13500,1500,3.83,896,95
91,15,443,15,0.293040293040293,19.66045641899109,254.37679266929624,699.0,False,13650,1500,4.57,900,96
92,15,438,15,0.2898550724637681,20.2179114818573,269.22665762901306,703.0,True,13800,1500,4.82,925,94
93,15,461,15,0.2867383512544803,22.44355821609497,280.49134635925293,717.0,False,13950,1500,5.05,921,94
94,15,491,15,0.2127659574468085,20.442879676818848,174.5132613182068,862.0,True,14100,1500,3.25,959,96
95,15,489,15,0.2105263157894736,21.05630612373352,181.82713341712952,897.0,True,14250,1500,3.38,946,99
96,15,510,15,0.2083333333333333,21.3644437789917,184.50048518180847,887.0,True,14400,1500,3.43,1002,100
97,15,523,15,0.2061855670103092,21.838780879974365,195.78316259384155,911.0,True,14550,1500,3.63,1017,110
98,15,529,15,0.2040816326530612,22.273257970809937,191.88654017448425,923.0,True,14700,1500,3.57,1028,99
99,15,493,15,0.2693602693602693,25.115352630615234,307.15019702911377,771.0,False,14850,1500,5.54,994,102
100,15,507,15,0.2666666666666666,26.04789638519287,301.8825652599335,763.0,False,15000,1500,5.47,1001,101
